-9327269.52889,5258856.53135,-9326699.25349,5259431.90472
-9344855.04678,5244774.54624,-9344324.58692,5245333.51448
-9351740.82242,5271449.95474,-9351181.23926,5272018.34608
-9330160.57109,5275077.52202,-9329578.05289,5275651.85806
-9324238.11592,5276515.84898,-9323658.80272,5277093.24734
-9351162.30426,5251240.88529,-9350616.54754,5251802.11487
-9337884.93594,5232658.91574,-9337308.58372,5233221.94891
-9361285.07329,5278170.50585,-9360739.33279,5278182.65597
-9350233.41235,5237657.81522,-9349683.99111,5238217.16493
-9358122.36785,5265282.61127,-9357559.41483,5265835.65062
-9347992.76073,5257886.80347,-9347434.68528,5258452.25566
-9335541.92437,5229462.38747,-9334972.35742,5230018.74071
-9339270.99907,5227136.67974,-9338700.03907,5227710.81955
-9332569.59834,5236676.0359,-9332005.58734,5237242.72212
-9328548.53295,5264355.78551,-9327998.57437,5265243.67273
-9321879.52664,5225400.12378,-9321293.82827,5225973.00739
-9335589.56377,5263588.26804,-9335028.92775,5264149.41335
-9324951.60339,5247897.10125,-9324411.27995,5248478.7569
-9347506.38027,5274308.15567,-9346934.38978,5274871.92924
-9365655.43805,5249178.36089,-9365099.32562,5249727.38219
-9336684.77657,5230514.54537,-9336113.80566,5231061.73074
-9326318.30929,5273078.40144,-9325737.63087,5273659.33283
-9361132.16914,5235675.42405,-9360547.98638,5236230.74692
-9328477.33846,5229741.80917,-9327901.46069,5230313.01441
-9325334.48823,5275903.48662,-9324754.88793,5276486.03886
-9366561.81771,5239328.11015,-9366538.88801,5239879.99799
-9333928.32297,5230052.65592,-9333355.54734,5230624.38079
-9329530.22603,5260939.71045,-9328973.91011,5261495.75347
-9333877.27263,5261423.02269,-9333310.65108,5261992.3873
-9338650.5423,5268597.75108,-9338077.80987,5269175.50071
-9366609.83957,5242031.02431,-9366077.87526,5242582.30646
-9322196.09868,5266578.37925,-9321633.03389,5267155.38071
-9359766.26351,5265283.67554,-9359205.11409,5265837.52483
-9343059.64462,5272252.03718,-9342494.75141,5272823.09839
-9325251.9879,5262853.37255,-9324693.9925,5263435.96025
-9335619.83499,5244143.77766,-9335064.51181,5244736.61093
-9352112.69876,5250247.48454,-9351535.33387,5251234.29399
-9315497.45299,5264354.97667,-9315466.14243,5264903.25744
-9330887.79105,5252085.48347,-9330320.53865,5252654.22823
-9322836.72331,5268774.76792,-9322267.83874,5269347.82662
-9321735.18834,5247499.28534,-9321157.55083,5248079.28311
-9346471.67139,5245852.51416,-9345923.05677,5246399.39572
-9352295.1701,5253980.88833,-9351735.27514,5254538.00914
-9343786.80056,5243168.02847,-9343256.23885,5243726.23647
-9365954.24996,5270220.7058,-9365382.55034,5270778.92202
-9328108.26303,5250540.28166,-9327198.30879,5251117.54929
-9344770.63165,5260129.3053,-9344204.73779,5260685.21795
-9357460.87192,5276843.64179,-9356860.08887,5278265.94873
-9333829.02877,5259758.83565,-9333264.83521,5260327.86981
-9318307.00733,5233234.46533,-9317741.23815,5233803.52157
-9341376.66112,5255183.74287,-9340798.06749,5255749.85175
-9346370.43488,5258469.59733,-9345811.60336,5259026.23306
-9361191.35671,5226393.67588,-9360608.84697,5226965.13749
-9352926.76049,5257841.1472,-9352369.79446,5258403.24666
-9351145.78,5269820.94112,-9350585.9014,5270393.25135
-9340286.3791,5256314.16805,-9339727.29054,5256879.20137
-9328640.0034,5233578.87475,-9328067.24168,5234157.21465
-9351360.99586,5245867.83425,-9350816.31616,5246421.50052
-9315681.52534,5235558.63353,-9315106.36391,5236144.68767
-9366171.43462,5247533.78042,-9365617.30289,5248084.03297
-9366513.62527,5231953.04079,-9366507.91414,5232502.94788
-9353388.46699,5253962.13902,-9352828.19977,5254521.82959
-9357314.0345,5237271.0379,-9356736.1246,5237724.96039
-9319419.88653,5253648.02224,-9318840.01184,5254229.59686
-9351330.31721,5237299.7799,-9350760.62925,5237688.93124
