"[13260534.64,326478.8285]","[13259195,326437.2676]","[13259149.19,327759.7149]","[13260488.54,327800.2937]","[13260534.64,326478.8285]",
"[13276766.37,320455.3765]","[13275467.84,320398.9804]","[13275433.52,321713.8837]","[13276726.97,321771.1066]","[13276766.37,320455.3765]",
"[13244600.05,294583.7926]","[13243266.27,294543.5816]","[13243215.11,295862.0213]","[13244553.33,295915.765]","[13244600.05,294583.7926]",
"[13336727.8,281188.7753]","[13335410.4,281133.5639]","[13335370.1,282458.7579]","[13336685.63,282514.6146]","[13336727.8,281188.7753]",
"[13232299.47,269636.1536]","[13230980.59,269598.5264]","[13230933.92,270917.6322]","[13232251.64,270955.2173]","[13232299.47,269636.1536]",
"[13270314.23,314883.4697]","[13268920.1,314834.084]","[13268889.48,316151.397]","[13270269.59,316202.1237]","[13270314.23,314883.4697]",
"[13236637.57,293073.0337]","[13235300.46,293050.8744]","[13235244.94,294371.5888]","[13236581.83,294388.6148]","[13236637.57,293073.0337]",
"[13264392.58,257299.5064]","[13263084.45,257247.6835]","[13263053.35,258582.6489]","[13264365.88,258632.3887]","[13264392.58,257299.5064]",
"[13202787.55,224803.3657]","[13201463.1,224762.9689]","[13201419.76,226088.0216]","[13202745.62,226125.7491]","[13202787.55,224803.3657]",
"[13265085.46,228105.264]","[13263748.59,228062.1798]","[13263690.34,229379.3754]","[13265027.47,229423.6041]","[13265085.46,228105.264]",
"[13315007.92,251227.6143]","[13314999.94,251011.3364]","[13313673.91,250984.2937]","[13313642.37,252332.0389]","[13314978.2,252354.9983]","[13315007.92,251227.6143]"
"[13334219.04,224662.7846]","[13332891.6,224615.2771]","[13332845.46,225944.9284]","[13334173.71,225993.3853]","[13334219.04,224662.7846]",
"[13252117.6,335750.7564]","[13250797.86,335734.8981]","[13250770.09,337053.7357]","[13252089.76,337070.0017]","[13252117.6,335750.7564]",
"[13208133.48,263945.3083]","[13206791.52,263924.122]","[13206760.97,265272.1981]","[13208104.92,265298.701]","[13208133.48,263945.3083]",
"[13203998.75,278919.6093]","[13202648.04,278887.7374]","[13202633.01,280228.2463]","[13203973.94,280259.3688]","[13203998.75,278919.6093]",
"[13342993.27,239752.3258]","[13341608.28,239731.719]","[13341559.3,240991.113]","[13342945.89,241032.6042]","[13342993.27,239752.3258]",
"[13250761.56,271441.9084]","[13250797.61,270401.5448]","[13249451.26,270337.8408]","[13249403.89,271656.922]","[13250751.91,271720.688]","[13250761.56,271441.9084]"
"[13239343.13,293118.1418]","[13237974.68,293095.1917]","[13237918.71,294405.641]","[13239272.57,294423.1797]","[13239343.13,293118.1418]",
"[13340569.93,315654.6258]","[13339248.67,315590.1884]","[13339185.71,316908.0287]","[13340507.7,316973.4025]","[13340569.93,315654.6258]",
"[13265796.52,253357.9619]","[13264495.29,253303.0542]","[13264445.98,254633.7391]","[13265745.3,254689.7277]","[13265796.52,253357.9619]",
"[13228189.73,274096.6314]","[13226875.14,274069.8197]","[13226825.09,275394.6947]","[13228140.28,275427.0145]","[13228189.73,274096.6314]",
"[13197365.02,266342.9957]","[13196011.72,266304.6024]","[13195988.03,267638.1965]","[13197342.46,267678.3441]","[13197365.02,266342.9957]",
"[13193241.36,271517.315]","[13191865.19,271477.087]","[13191836.31,273396.496]","[13192078.77,273391.6034]","[13193223.31,273406.8664]","[13193241.36,271517.315]"
"[13197261.94,310649.9874]","[13195948.66,310572.7942]","[13195946.93,311909.8132]","[13197259.22,311975.726]","[13197261.94,310649.9874]",
"[13189374.35,323545.0634]","[13188055.22,323497.9121]","[13188048.43,324815.9095]","[13189367.65,324860.7191]","[13189374.35,323545.0634]",
"[13208358.79,256043.0205]","[13207020,255991.6023]","[13206982.81,257339.7286]","[13208322.22,257392.9023]","[13208358.79,256043.0205]",
"[13315799.13,323315.5788]","[13315894.15,322006.3978]","[13314579.35,322122.8193]","[13314483.97,323427.9004]","[13315799.13,323315.5788]",
"[13190713.44,262172.3428]","[13189393.88,262140.2435]","[13189366.71,263473.714]","[13190686.33,263503.2415]","[13190713.44,262172.3428]",
"[13271422.1,287786.3611]","[13270123.47,287701.7818]","[13270084.36,289028.3546]","[13271382.43,289113.3655]","[13271422.1,287786.3611]",
"[13299963.16,265321.1968]","[13298627.54,265261.2507]","[13298584.27,266598.3282]","[13299926.07,266674.6968]","[13299963.16,265321.1968]",
"[13213683.9,218387.7483]","[13212349.59,218354.7893]","[13212306.73,219680.1356]","[13213642.18,219708.7136]","[13213683.9,218387.7483]",
"[13342416.26,262540.8211]","[13341113.77,262450.8544]","[13341091.71,263781.6407]","[13342385.81,263872.0348]","[13342416.26,262540.8211]",
"[13235084.76,225894.5714]","[13233771.62,225840.9913]","[13233717.66,227165.218]","[13235026.1,227221.9651]","[13235084.76,225894.5714]",
"[13210516.67,232932.2466]","[13209168.52,232893.6103]","[13209125.95,234232.9625]","[13210473.49,234268.8421]","[13210516.67,232932.2466]",
"[13194427.79,300123.9324]","[13193091.66,300073.5055]","[13193084.98,301386.0528]","[13194422.06,301437.4675]","[13194427.79,300123.9324]",
"[13311884.74,268312.6748]","[13311923.83,266962.3607]","[13310604.26,266997.9139]","[13310566.42,268349.4814]","[13311884.74,268312.6748]",
"[13194734.59,227215.4409]","[13193405.4,227176.4568]","[13193368.11,228489.9826]","[13194695.15,228530.5415]","[13194734.59,227215.4409]",
